tu_id	speaker	start	end	parent_tu_id	text
237	PSB043_trad	353.786	354.671	236	collaborazione
240	PSB043_trad	355.793	356.271	239	collaborazione
1213	PSB033_trad	1532.090	1532.867	1212	grazie
1908	PSB045_trad	2346.550	2351.700	1907	quando ti ha parlato prima e tu ti sei messa ha ridere di me e mi hai detto che nessuno me l'aveva mai detto
2176	PSB044_trad	2611.400	2611.777	2175	chiaccherona
2178	PSB043_trad	2612.603	2613.203	2177	chiaccherona sì
2180	PSB044_trad	2613.197	2613.570	2179	chiaccherona
2193	PSB044_trad	2621.208	2621.797	2192	intelligente
2196	PSB033_trad	2622.703	2623.087	2195	intelligente
2198	PSB043_trad	2623.403	2624.186	2197	intelligente sì
2200	PSB033_trad	2624.200	2624.782	2199	e chiaccherona
2203	PSB043_trad	2625.595	2625.971	2202	chiaccherona
2212	PSB043_trad	2629.100	2629.880	2211	intelligente e chiaccherona
2225	PSB043_trad	2639.051	2642.957	2224	ah pensavo che intelligente una parola un po' difficile
