tu_id	speaker	start	end	parent_tu_id	text
2	PSB026_trad	4.300	7.073	_	prima sì prima italia se bellissimo
5	PSB026_trad	7.600	10.919	_	anche se italia se bella anche se anche bologna
9	PSB026_trad	16.850	18.873	_	io italia quattordici anni
322	PSB026_trad	433.909	437.550	_	tanto persone arrivato qua italia come libia cina
342	PSB026_trad	461.040	461.613	_	italia
546	PSB026_trad	699.670	702.010	_	bangladesh no come italia capito?
581	PSB026_trad	743.980	744.590	_	italia
689	PSB026_trad	880.180	884.380	_	lavoro anche capitale come roma capito? loro vuole andare loro famiglia
739	PSB026_trad	957.760	959.560	_	non c'è come italia
784	PSB026_trad	1013.670	1017.480	_	italia tranquillo io notte non c'è qualcuno io andare dove vuoi
824	PSB026_trad	1070.520	1072.090	_	anche kebab ricordi?
826	PSB026_trad	1072.210	1072.760	_	kebab
842	PSB026_trad	1098.000	1101.000	_	frutta verdura a me me piace come italia sistema
850	PSB026_trad	1110.340	1111.670	_	italiano ristorante
1035	PSB026_trad	1364.770	1366.420	_	italia (cento person~ cento)
1085	PSB026_trad	1427.110	1427.810	_	dicembre
1094	PSB026_trad	1434.270	1438.840	_	sì dicembre mio paese due mesi freddo come addosso fuori freddo è così
1158	PSB026_trad	1531.520	1533.270	_	poi io andare ospedale
1234	PSB026_trad	1631.470	1636.000	_	anche fabbrica xxx xx ristorante c'è amici loro lavoro
1282	PSB026_trad	1688.780	1690.240	_	no italia perché
1284	PSB026_trad	1690.540	1693.690	_	io italia no parlare anche bene lo sai perché io no andare scuola
1309	PSB026_trad	1718.420	1719.660	_	italia ha capito?
1313	PSB026_trad	1724.920	1730.190	_	quando io andare hospital anche loro aiutare me anche dottore aiutare me hai capito?
1333	PSB026_trad	1746.140	1747.320	_	oh italia gentile
1345	PSB026_trad	1758.890	1762.060	_	anche ospedale ogni tanto tante volte anche io stato là
1470	PSB026_trad	1941.434	1944.941	_	no l'ha portato solo nel senso ha portato il suo foglio
1472	???_trad	1945.034	1946.410	1471	bianca
1474	PSB026_trad	1946.494	1948.583	_	non è arrivata nessuna pagina solo quella mail è arrivata
1476	PSB026_trad	1948.960	1951.020	_	xxx hai capito dov'è?
1479	PSB026_trad	1952.540	1955.030	_	poi dottoressa scrive sì italia tutto bene
1594	PSB026_trad	2067.110	2072.150	_	trenta venticinque anni trenta anni fa adesso molto differenza bangladesh
1615	PSB026_trad	2100.840	2107.040	_	anche visto quando se qualcuno se problema chiamare (ambulanza) anche subito però (sistema) non c'è mio paese
