tu_id	speaker	start	end	parent_tu_id	text
47	PSB039_trad	96.240	96.880	46	fiumi
68	PSB039_trad	142.813	144.120	67	camminare in giro
119	PSB039_trad	252.940	254.306	118	quando saprò
122	PSB039_trad	255.180	255.893	121	qualcosa in più
131	PSB039_trad	273.772	282.173	130	magari un business o qualcosa però in europe è molto costoso come posso?
147	PSB039_trad	303.832	305.152	146	se non hai successo
156	PSB039_trad	320.587	322.173	155	pellet di legno
158	PSB039_trad	322.587	324.840	157	tipo un combustibile
165	PSB039_trad	335.640	336.387	164	interessate
185	PSB039_trad	360.980	363.470	184	di istruzione
208	PSB039_trad	402.910	403.910	207	ucraino
238	PSB039_trad	476.670	481.760	237	e anche film
241	PSB039_trad	482.610	485.060	240	film in cinema
244	PSB039_trad	485.490	486.077	243	nel
250	PSB039_trad	494.710	498.930	249	specialmente quando io ero più piccolo
263	PSB039_trad	524.890	526.920	262	hanno vinto l'eurovision
283	PSB039_trad	561.820	567.030	282	sono stati più è stato più famoso
295	PSB039_trad	593.200	600.570	294	ho un testo oppure ad esempio google translate
301	PSB039_trad	606.510	612.720	299	sì se provi a tradurre dall'ucraino all'italiano
304	PSB039_trad	613.010	613.840	303	va abbastanza male
307	PSB039_trad	614.050	617.650	306	ma se provi a tradurre dall'inglese all'italiano va molto meglio
336	PSB039_trad	669.640	672.150	335	vicino al benzinaio
369	PSB039_trad	741.990	744.090	368	sapeva già
389	PSB039_trad	798.140	805.746	388	devi avere tonnellate di documenti per qualsiasi cosa
394	PSB039_trad	815.650	822.077	393	quindi noi abbiamo problemi però noi abbiamo anche i nostri lati positivi
405	PSB039_trad	842.350	848.640	404	magari che i vostri negozi non sono aperti dopo le undici di sera
419	PSB039_trad	876.940	878.840	418	vivevo in una città piccola
447	PSB039_trad	936.540	939.880	446	dipende quando tempo devi trascorrere
451	PSB039_trad	940.890	946.250	450	se è poco o periodi di tempo più lunghi
454	PSB039_trad	948.660	954.330	453	se più brevi allora spiaggia
492	PSB039_trad	1040.359	1048.060	491	da voi piace parlare di cibo come hai mangiato oggi e così via
494	PSB039_trad	1048.600	1054.550	493	da noi non parliamo quasi per niente di cibo
512	PSB039_trad	1099.370	1101.800	511	tipi di pasta
571	PSB039_trad	1245.290	1253.280	570	questo paese ad esempio mettere molti soldi per migliorare ad esempio progra~
574	PSB039_trad	1254.080	1259.580	573	programmi l'istruzione e così via non è un paese per aprire una start up o qualcosa del genere
578	PSB039_trad	1260.450	1261.430	577	purtroppo però
584	PSB039_trad	1277.490	1282.500	583	da settembre ques~ l'anno scorso
637	PSB039_trad	1384.413	1386.519	636	grazie al contesto
