tu_id	speaker	start	end	parent_tu_id	text
29	PSB093_trad	49.680	55.260	28	no oh bene vuoi andare
33	PSB093_trad	62.980	67.220	32	va bene ma signore ci vorrà molto tempo se ci vado io si sprecherà tanto tempo
37	PSB093_trad	70.000	72.576	36	bisognerà prendere molta verdura per domenica
206	PSB093_trad	407.192	411.030	205	cioè non deve necessariamente essere super perfetto
416	PSB093_trad	764.798	765.785	415	nessun computer?
478	PSB093_trad	899.020	901.798	477	dobbiamo controllare oggi tesoro okay?
546	PSB093_trad	1008.404	1009.394	545	presso la vostra eh?
648	PSB093_trad	1208.899	1210.222	647	totale delle pagine
652	PSB093_trad	1215.010	1220.586	651	un certo numero di pagine che tu puoi fare fotocopie oppure stampa dal computer
932	PSB005_trad	1746.394	1749.010	931	cioè apprendimento integrato di lingua e contenuti
951	PSB093_trad	1782.808	1784.596	950	perché è così pesante
