token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	0	così	così	_	_	_	_	_	linguistic	_	none	_	Begin=0.44	_	_	_	_
0-1	PSB005	0	0	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB005	0	0	2	sufficiente	sufficiente	_	_	_	_	_	linguistic	_	none	_	End=1.759	_	_	_	_
1-0	PSB005	1	1	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=2.09	_	_	_	_
1-1	PSB005	1	1	1	sì	sì	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
1-2	PSB005	1	1	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-3	PSB005	1	1	3	okay	okay	_	_	_	_	_	linguistic	_	none	_	End=3.18	_	_	_	_
2-0	PSB005	2	2	0	e:hm	ehm	_	_	_	_	_	linguistic	_	none	_	Begin=3.74	0x1	_	_	_
2-1	PSB005	2	2	1	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB005	2	2	2	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB005	2	2	3	curiosa	curiosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PSB005	2	2	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PSB005	2	2	5	chiederti	chiederti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PSB005	2	2	6	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PSB005	2	2	7	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PSB005	2	2	8	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	End=7.244	_	_	_	_
3-0	PSB005	3	3	0	questo	questo	_	_	_	_	_	linguistic	_	none	_	Begin=7.79	_	_	_	_
3-1	PSB005	3	3	1	quest'	quest'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
3-2	PSB005	3	3	2	attività	attività	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB005	3	3	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PSB005	3	3	4	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PSB005	3	3	5	fai	fai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB005	3	3	6	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	PSB005	3	3	7	volontariato:	volontariato	_	_	_	_	_	linguistic	_	none	_	End=10.53	11x1	_	_	_
4-0	PSB070	4	4	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=11.6	_	_	_	_
4-1	PSB070	4	4	1	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB070	4	4	2	protezione	protezione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB070	4	4	3	civile	civile	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB070	4	4	4	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB070	4	4	5	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PSB070	4	4	6	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	PSB070	4	4	7	[pubblica	pubblica	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-8(0)
4-8	PSB070	4	4	8	assist]enza	assistenza	_	_	_	_	_	linguistic	_	none	_	End=14.13	_	_	_	0-6(0)
5-0	PSB005	5	5	0	[se	se	_	_	_	_	_	linguistic	_	none	_	Begin=13.16	_	_	_	0-2(0)
5-1	PSB005	5	5	1	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
